"","zip","childcare_programs","licensed_capacity","programs_accepting_subsidies","children_under_six","month","year"
"1","63005",5,635,NA,814,"November","2019"
"2","63010",12,978,NA,1862,"November","2019"
"3","63011",15,1288,NA,2643,"November","2019"
"4","63012",4,159,1,865,"November","2019"
"5","63013",1,20,1,33,"November","2019"
"6","63016",1,49,NA,259,"November","2019"
"7","63017",13,1227,NA,2233,"November","2019"
"8","63019",2,114,NA,202,"November","2019"
"9","63020",6,366,NA,1189,"November","2019"
"10","63021",11,951,1,3967,"November","2019"
"11","63023",1,80,1,300,"November","2019"
"12","63025",7,488,1,1026,"November","2019"
"13","63026",10,1099,1,2840,"November","2019"
"14","63028",8,717,2,1599,"November","2019"
"15","63031",29,1454,5,3353,"November","2019"
"16","63033",26,975,10,2730,"November","2019"
"17","63034",8,433,4,745,"November","2019"
"18","63037",2,110,1,161,"November","2019"
"19","63038",4,343,NA,182,"November","2019"
"20","63039",2,116,1,61,"November","2019"
"21","63040",2,198,1,542,"November","2019"
"22","63042",12,770,1,1337,"November","2019"
"23","63043",8,622,NA,1237,"November","2019"
"24","63044",6,316,NA,566,"November","2019"
"25","63045",1,102,1,0,"November","2019"
"26","63047",1,36,NA,0,"November","2019"
"27","63049",8,391,1,1187,"November","2019"
"28","63050",7,449,1,858,"November","2019"
"29","63051",5,200,2,673,"November","2019"
"30","63052",6,400,1,2324,"November","2019"
"31","63055",1,20,NA,299,"November","2019"
"32","63068",5,139,NA,348,"November","2019"
"33","63069",1,10,1,1008,"November","2019"
"34","63070",3,286,NA,719,"November","2019"
"35","63072",1,20,NA,271,"November","2019"
"36","63074",8,360,1,1618,"November","2019"
"37","63077",5,345,2,752,"November","2019"
"38","63080",8,290,2,994,"November","2019"
"39","63084",11,332,2,1264,"November","2019"
"40","63088",1,149,NA,447,"November","2019"
"41","63090",8,491,NA,1626,"November","2019"
"42","63103",6,652,NA,288,"November","2019"
"43","63104",16,1071,2,1764,"November","2019"
"44","63105",6,505,1,540,"November","2019"
"45","63106",9,496,1,1121,"November","2019"
"46","63107",14,672,7,306,"November","2019"
"47","63108",9,426,2,580,"November","2019"
"48","63109",7,380,NA,1862,"November","2019"
"49","63110",15,1392,2,1125,"November","2019"
"50","63111",9,369,NA,1584,"November","2019"
"51","63112",19,875,5,681,"November","2019"
"52","63113",15,827,7,648,"November","2019"
"53","63114",20,1286,5,2888,"November","2019"
"54","63115",23,869,9,1066,"November","2019"
"55","63116",14,856,NA,3012,"November","2019"
"56","63117",2,143,NA,483,"November","2019"
"57","63118",23,1184,9,2350,"November","2019"
"58","63119",15,1036,1,2788,"November","2019"
"59","63120",13,534,4,722,"November","2019"
"60","63121",21,1079,3,1427,"November","2019"
"61","63122",17,1625,1,2982,"November","2019"
"62","63123",9,642,1,2809,"November","2019"
"63","63124",5,387,NA,731,"November","2019"
"64","63125",13,707,NA,2197,"November","2019"
"65","63126",4,455,NA,952,"November","2019"
"66","63127",4,394,NA,226,"November","2019"
"67","63128",16,905,NA,1643,"November","2019"
"68","63129",20,1565,NA,2403,"November","2019"
"69","63130",15,1143,4,1376,"November","2019"
"70","63131",3,285,NA,1032,"November","2019"
"71","63132",3,144,1,1160,"November","2019"
"72","63133",12,702,5,641,"November","2019"
"73","63134",13,592,3,865,"November","2019"
"74","63135",18,944,7,1543,"November","2019"
"75","63136",48,2725,20,3166,"November","2019"
"76","63137",9,600,6,1551,"November","2019"
"77","63138",15,820,7,1387,"November","2019"
"78","63139",18,717,1,1531,"November","2019"
"79","63141",14,1811,1,1078,"November","2019"
"80","63143",7,269,3,496,"November","2019"
"81","63144",8,670,2,710,"November","2019"
"82","63146",9,700,1,2139,"November","2019"
"83","63147",12,555,3,437,"November","2019"
"84","63301",25,1514,2,3065,"November","2019"
"85","63303",14,1306,1,3206,"November","2019"
"86","63304",13,858,1,2717,"November","2019"
"87","63332",1,20,NA,62,"November","2019"
"88","63334",7,311,1,630,"November","2019"
"89","63336",1,96,NA,27,"November","2019"
"90","63339",1,20,NA,108,"November","2019"
"91","63341",1,123,NA,52,"November","2019"
"92","63343",2,40,NA,217,"November","2019"
"93","63345",1,10,1,98,"November","2019"
"94","63347",1,120,1,75,"November","2019"
"95","63348",1,55,NA,451,"November","2019"
"96","63351",1,10,NA,48,"November","2019"
"97","63352",2,30,NA,47,"November","2019"
"98","63353",5,203,1,400,"November","2019"
"99","63357",3,52,NA,235,"November","2019"
"100","63361",3,97,1,268,"November","2019"
"101","63362",2,70,2,623,"November","2019"
"102","63366",21,1419,1,3327,"November","2019"
"103","63367",9,751,1,2002,"November","2019"
"104","63368",27,2520,NA,3297,"November","2019"
"105","63376",37,2393,1,4846,"November","2019"
"106","63377",1,10,NA,187,"November","2019"
"107","63379",11,582,4,1766,"November","2019"
"108","63381",1,10,NA,76,"November","2019"
"109","63382",2,54,1,187,"November","2019"
"110","63383",10,327,NA,1049,"November","2019"
"111","63384",1,20,NA,89,"November","2019"
"112","63385",23,1526,2,3908,"November","2019"
"113","63389",1,40,NA,728,"November","2019"
"114","63390",3,100,NA,1061,"November","2019"
"115","63401",16,766,1,1508,"November","2019"
"116","63435",3,44,NA,364,"November","2019"
"117","63436",1,20,NA,31,"November","2019"
"118","63441",1,20,1,47,"November","2019"
"119","63445",9,100,2,176,"November","2019"
"120","63448",1,10,NA,71,"November","2019"
"121","63452",2,58,NA,125,"November","2019"
"122","63456",6,80,2,303,"November","2019"
"123","63459",5,92,3,134,"November","2019"
"124","63461",6,143,NA,412,"November","2019"
"125","63462",1,10,NA,128,"November","2019"
"126","63463",1,20,1,26,"November","2019"
"127","63468",2,55,1,249,"November","2019"
"128","63469",1,20,1,51,"November","2019"
"129","63472",1,28,NA,32,"November","2019"
"130","63501",11,462,1,1045,"November","2019"
"131","63533",1,10,NA,76,"November","2019"
"132","63537",5,88,2,179,"November","2019"
"133","63541",1,40,NA,48,"November","2019"
"134","63545",1,20,NA,73,"November","2019"
"135","63548",2,20,1,75,"November","2019"
"136","63552",7,234,NA,420,"November","2019"
"137","63555",5,96,NA,254,"November","2019"
"138","63556",3,60,NA,199,"November","2019"
"139","63559",1,20,NA,114,"November","2019"
