"","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"1","63005",2019,"November",5,NA,635,895
"2","63005",2020,"March",5,1,612,895
"3","63005",2020,"September",6,1,776,895
"4","63005",2021,"March",6,1,776,895
"5","63005",2021,"September",6,1,776,895
"6","63005",2022,"March",6,2,784,895
"7","63005",2022,"September",6,2,791,895
"8","63005",2023,"March",5,2,839,895
"9","63010",2019,"November",12,NA,978,2319
"10","63010",2020,"March",11,6,958,2319
"11","63010",2020,"September",12,6,1031,2319
"12","63010",2021,"March",14,6,1074,2319
"13","63010",2021,"September",14,6,1074,2319
"14","63010",2022,"March",13,5,977,2319
"15","63010",2022,"September",13,5,977,2319
"16","63010",2023,"March",15,6,1122,2319
"17","63011",2019,"November",15,NA,1288,2876
"18","63011",2020,"March",14,3,1685,2876
"19","63011",2020,"September",14,3,1950,2876
"20","63011",2021,"March",14,4,1928,2876
"21","63011",2021,"September",15,4,2043,2876
"22","63011",2022,"March",13,4,1906,2876
"23","63011",2022,"September",13,3,1903,2876
"24","63011",2023,"March",13,4,1895,2876
"25","63012",2019,"November",4,1,159,1106
"26","63012",2020,"March",3,1,119,1106
"27","63012",2020,"September",3,2,119,1106
"28","63012",2021,"March",3,2,119,1106
"29","63012",2021,"September",2,1,100,1106
"30","63012",2022,"March",3,2,119,1106
"31","63012",2022,"September",2,1,99,1106
"32","63012",2023,"March",2,1,103,1106
"33","63013",2019,"November",1,1,20,26
"34","63013",2020,"March",1,1,20,26
"35","63013",2021,"March",2,1,40,26
"36","63013",2021,"September",2,1,40,26
"37","63013",2022,"March",2,1,40,26
"38","63013",2022,"September",2,1,40,26
"39","63013",2023,"March",2,1,40,26
"40","63016",2019,"November",1,NA,49,337
"41","63016",2020,"March",1,1,49,337
"42","63016",2020,"September",1,1,49,337
"43","63016",2021,"March",1,1,49,337
"44","63016",2021,"September",1,1,49,337
"45","63016",2022,"March",1,1,49,337
"46","63016",2022,"September",1,1,49,337
"47","63016",2023,"March",1,1,49,337
"48","63017",2019,"November",13,NA,1227,2557
"49","63017",2020,"March",10,4,1029,2557
"50","63017",2020,"September",10,3,1022,2557
"51","63017",2021,"March",13,5,1289,2557
"52","63017",2021,"September",15,5,1441,2557
"53","63017",2022,"March",15,5,1450,2557
"54","63017",2022,"September",15,5,1450,2557
"55","63017",2023,"March",15,5,1413,2557
"56","63019",2019,"November",2,NA,114,281
"57","63019",2020,"March",2,2,114,281
"58","63019",2020,"September",2,2,114,281
"59","63019",2021,"March",2,2,114,281
"60","63019",2021,"September",2,1,114,281
"61","63019",2022,"March",2,1,114,281
"62","63019",2022,"September",2,1,135,281
"63","63019",2023,"March",1,1,75,281
"64","63020",2019,"November",6,NA,366,1294
"65","63020",2020,"March",6,3,366,1294
"66","63020",2020,"September",2,2,208,1294
"67","63020",2021,"March",5,4,326,1294
"68","63020",2021,"September",6,4,384,1294
"69","63020",2022,"March",6,4,384,1294
"70","63020",2022,"September",5,2,364,1294
"71","63020",2023,"March",5,3,364,1294
"72","63021",2019,"November",11,1,951,4106
"73","63021",2020,"March",10,5,951,4106
"74","63021",2020,"September",6,5,698,4106
"75","63021",2021,"March",8,5,891,4106
"76","63021",2021,"September",8,5,1009,4106
"77","63021",2022,"March",8,5,1009,4106
"78","63021",2022,"September",8,5,1009,4106
"79","63021",2023,"March",8,5,1009,4106
"80","63023",2019,"November",1,1,80,300
"81","63023",2020,"September",1,NA,80,300
"82","63023",2021,"March",1,NA,80,300
"83","63023",2021,"September",1,NA,41,300
"84","63023",2022,"March",1,NA,41,300
"85","63023",2022,"September",1,NA,41,300
"86","63023",2023,"March",1,NA,41,300
"87","63025",2019,"November",7,1,488,1635
"88","63025",2020,"March",4,2,450,1635
"89","63025",2020,"September",6,2,548,1635
"90","63025",2021,"March",7,4,572,1635
"91","63025",2021,"September",7,4,572,1635
"92","63025",2022,"March",6,3,548,1635
"93","63025",2022,"September",6,3,548,1635
"94","63025",2023,"March",6,3,552,1635
"95","63026",2019,"November",10,1,1099,3211
"96","63026",2020,"March",10,7,1099,3211
"97","63026",2020,"September",9,6,911,3211
"98","63026",2021,"March",9,6,911,3211
"99","63026",2021,"September",8,5,720,3211
"100","63026",2022,"March",7,5,622,3211
"101","63026",2022,"September",7,5,622,3211
"102","63026",2023,"March",7,5,620,3211
"103","63028",2019,"November",8,2,717,1906
"104","63028",2020,"March",8,6,717,1906
"105","63028",2020,"September",5,3,577,1906
"106","63028",2021,"March",6,4,576,1906
"107","63028",2021,"September",6,3,576,1906
"108","63028",2022,"March",5,3,360,1906
"109","63028",2022,"September",5,3,360,1906
"110","63028",2023,"March",5,3,360,1906
"111","63031",2019,"November",29,5,1454,3247
"112","63031",2020,"March",26,20,1352,3247
"113","63031",2020,"September",16,10,868,3247
"114","63031",2021,"March",25,20,1112,3247
"115","63031",2021,"September",26,19,1211,3247
"116","63031",2022,"March",25,18,1188,3247
"117","63031",2022,"September",21,17,1076,3247
"118","63031",2023,"March",22,17,1188,3247
"119","63033",2019,"November",26,10,975,2751
"120","63033",2020,"March",24,20,971,2751
"121","63033",2020,"September",21,16,880,2751
"122","63033",2021,"March",28,25,1073,2751
"123","63033",2021,"September",30,23,1098,2751
"124","63033",2022,"March",26,18,864,2751
"125","63033",2022,"September",25,19,836,2751
"126","63033",2023,"March",26,20,934,2751
"127","63034",2019,"November",8,4,433,1572
"128","63034",2020,"March",7,4,401,1572
"129","63034",2020,"September",6,4,330,1572
"130","63034",2021,"March",8,5,372,1572
"131","63034",2021,"September",9,5,372,1572
"132","63034",2022,"March",10,5,382,1572
"133","63034",2022,"September",10,5,382,1572
"134","63034",2023,"March",10,6,382,1572
"135","63037",2019,"November",2,1,110,127
"136","63037",2020,"March",2,2,110,127
"137","63037",2020,"September",2,2,110,127
"138","63037",2021,"March",2,2,110,127
"139","63037",2021,"September",2,2,110,127
"140","63037",2022,"March",2,2,110,127
"141","63037",2022,"September",2,2,110,127
"142","63037",2023,"March",2,2,110,127
"143","63038",2019,"November",4,NA,343,635
"144","63038",2020,"March",3,1,233,635
"145","63038",2020,"September",1,NA,110,635
"146","63038",2021,"March",3,1,283,635
"147","63038",2021,"September",3,1,283,635
"148","63038",2022,"March",3,1,283,635
"149","63038",2022,"September",3,1,283,635
"150","63038",2023,"March",2,NA,223,635
"151","63039",2019,"November",2,1,116,103
"152","63039",2020,"March",1,1,80,103
"153","63039",2020,"September",2,NA,116,103
"154","63039",2021,"March",2,1,116,103
"155","63039",2021,"September",2,NA,116,103
"156","63039",2022,"March",2,NA,116,103
"157","63039",2022,"September",2,NA,116,103
"158","63039",2023,"March",2,NA,116,103
"159","63040",2019,"November",2,1,198,626
"160","63040",2020,"March",2,1,119,626
"161","63040",2020,"September",2,1,198,626
"162","63040",2021,"March",3,1,232,626
"163","63040",2021,"September",2,1,212,626
"164","63040",2022,"March",2,1,212,626
"165","63040",2022,"September",2,1,212,626
"166","63040",2023,"March",2,1,212,626
"167","63042",2019,"November",12,1,770,1504
"168","63042",2020,"March",12,11,836,1504
"169","63042",2020,"September",8,6,632,1504
"170","63042",2021,"March",13,12,856,1504
"171","63042",2021,"September",14,12,906,1504
"172","63042",2022,"March",14,13,906,1504
"173","63042",2022,"September",15,14,906,1504
"174","63042",2023,"March",14,13,926,1504
"175","63043",2019,"November",8,NA,622,1355
"176","63043",2020,"March",7,4,430,1355
"177","63043",2020,"September",6,3,534,1355
"178","63043",2021,"March",7,4,612,1355
"179","63043",2021,"September",7,4,612,1355
"180","63043",2022,"March",7,4,612,1355
"181","63043",2022,"September",7,4,610,1355
"182","63043",2023,"March",7,4,610,1355
"183","63044",2019,"November",6,NA,316,676
"184","63044",2020,"March",4,2,224,676
"185","63044",2020,"September",5,3,274,676
"186","63044",2021,"March",6,3,301,676
"187","63044",2021,"September",6,3,301,676
"188","63044",2022,"March",6,3,301,676
"189","63044",2022,"September",6,3,301,676
"190","63044",2023,"March",5,3,291,676
"191","63045",2019,"November",1,1,102,0
"192","63045",2020,"March",1,1,102,0
"193","63045",2020,"September",1,NA,102,0
"194","63045",2021,"March",1,NA,102,0
"195","63045",2021,"September",1,NA,102,0
"196","63045",2022,"March",1,NA,102,0
"197","63045",2022,"September",1,NA,102,0
"198","63045",2023,"March",1,NA,102,0
"199","63047",2019,"November",1,NA,36,0
"200","63047",2021,"March",1,NA,36,0
"201","63047",2021,"September",1,NA,46,0
"202","63047",2022,"March",1,NA,46,0
"203","63047",2022,"September",1,NA,46,0
"204","63047",2023,"March",1,NA,46,0
"205","63049",2019,"November",8,1,391,1098
"206","63049",2020,"March",8,5,391,1098
"207","63049",2020,"September",8,4,395,1098
"208","63049",2021,"March",8,4,395,1098
"209","63049",2021,"September",7,3,371,1098
"210","63049",2022,"March",7,3,371,1098
