"","id","zip","amount","type","year"
"1","P365-742","63139",8320,"arpa_paycheck_3","2022"
"2","E978-248","65201",33280,"arpa_paycheck_3","2022"
"3","P360-647","63701",29120,"arpa_paycheck_3","2022"
"4","E777-988","63301",24960,"arpa_paycheck_3","2022"
"5","E748-405","63301",54080,"arpa_paycheck_3","2022"
"6","P644-616","65084",33280,"arpa_paycheck_3","2022"
"7","E656-609","64134",62400,"arpa_paycheck_3","2022"
"8","P382-511","63957",33280,"arpa_paycheck_3","2022"
"9","E210-785","63110",104000,"arpa_paycheck_3","2022"
"10","E123-525","63104",83200,"arpa_paycheck_3","2022"
"11","P238-355","65041",4160,"arpa_paycheck_3","2022"
"12","P569-314","63701",104000,"arpa_paycheck_3","2022"
"13","P619-674","63136",62400,"arpa_paycheck_3","2022"
"14","P267-963","63115",58240,"arpa_paycheck_3","2022"
"15","P605-522","63901",62400,"arpa_paycheck_3","2022"
"16","E120-701","63119",104000,"arpa_paycheck_3","2022"
"17","P836-885","63129",104000,"arpa_paycheck_3","2022"
"18","P436-337","65802",83200,"arpa_paycheck_3","2022"
"19","E210-166","64834",83200,"arpa_paycheck_3","2022"
"20","P391-961","63873",4160,"arpa_paycheck_3","2022"
"21","E284-548","64075",54080,"arpa_paycheck_3","2022"
"22","P500-374","63670",4160,"arpa_paycheck_3","2022"
"23","P767-485","63334",62400,"arpa_paycheck_3","2022"
"24","E805-255","63146",62400,"arpa_paycheck_3","2022"
"25","E925-286","64015",4160,"arpa_paycheck_3","2022"
"26","P947-313","63109",83200,"arpa_paycheck_3","2022"
"27","P641-985","65706",62400,"arpa_paycheck_3","2022"
"28","E102-980","65270",62400,"arpa_paycheck_3","2022"
"29","E223-225","63857",8320,"arpa_paycheck_3","2022"
"30","P778-464","63141",104000,"arpa_paycheck_3","2022"
"31","P738-361","65605",4160,"arpa_paycheck_3","2022"
"32","E279-807","64725",33280,"arpa_paycheck_3","2022"
"33","P847-384","63137",20800,"arpa_paycheck_3","2022"
"34","E275-522","63116",62400,"arpa_paycheck_3","2022"
"35","P403-700","63771",8320,"arpa_paycheck_3","2022"
"36","P666-494","65633",4160,"arpa_paycheck_3","2022"
"37","P764-786","63787",8320,"arpa_paycheck_3","2022"
"38","E689-312","65723",8320,"arpa_paycheck_3","2022"
"39","E915-305","65775",33280,"arpa_paycheck_3","2022"
"40","E936-287","64110",8320,"arpa_paycheck_3","2022"
"41","E440-224","65203",62400,"arpa_paycheck_3","2022"
"42","P625-582","65605",4160,"arpa_paycheck_3","2022"
"43","P776-423","63028",66560,"arpa_paycheck_3","2022"
"44","E855-612","65101",29120,"arpa_paycheck_3","2022"
"45","E169-570","63125",62400,"arpa_paycheck_3","2022"
"46","E398-201","65452",12480,"arpa_paycheck_3","2022"
"47","E805-102","63136",45760,"arpa_paycheck_3","2022"
"48","P741-456","63775",49920,"arpa_paycheck_3","2022"
"49","E230-699","65203",4160,"arpa_paycheck_3","2022"
"50","E820-686","63123",83200,"arpa_paycheck_3","2022"
"51","E956-756","65738",4160,"arpa_paycheck_3","2022"
"52","P817-928","63137",45760,"arpa_paycheck_3","2022"
"53","E260-282","63379",62400,"arpa_paycheck_3","2022"
"54","E787-329","64132",4160,"arpa_paycheck_3","2022"
"55","E197-489","63110",54080,"arpa_paycheck_3","2022"
"56","E115-557","63110",24960,"arpa_paycheck_3","2022"
"57","P880-560","63118",8320,"arpa_paycheck_3","2022"
"58","E430-565","63841",8320,"arpa_paycheck_3","2022"
"59","P986-243","63703",16640,"arpa_paycheck_3","2022"
"60","E716-877","63703",12480,"arpa_paycheck_3","2022"
"61","E559-543","63112",4160,"arpa_paycheck_3","2022"
"62","E130-330","63353",8320,"arpa_paycheck_3","2022"
"63","P976-707","65109",33280,"arpa_paycheck_3","2022"
"64","E572-116","63031",62400,"arpa_paycheck_3","2022"
"65","E268-444","64012",16640,"arpa_paycheck_3","2022"
"66","E403-462","64012",20800,"arpa_paycheck_3","2022"
"67","E881-230","64504",4160,"arpa_paycheck_3","2022"
"68","E284-185","63121",8320,"arpa_paycheck_3","2022"
"69","E282-606","63021",83200,"arpa_paycheck_3","2022"
"70","E726-332","64503",4160,"arpa_paycheck_3","2022"
"71","E982-202","63141",62400,"arpa_paycheck_3","2022"
"72","E828-672","65101",62400,"arpa_paycheck_3","2022"
"73","P219-363","64117",4160,"arpa_paycheck_3","2022"
"74","P873-783","64128",4160,"arpa_paycheck_3","2022"
"75","P196-845","63670",4160,"arpa_paycheck_3","2022"
"76","E619-307","63304",37440,"arpa_paycheck_3","2022"
"77","E253-510","64138",74880,"arpa_paycheck_3","2022"
"78","P568-567","63801",4160,"arpa_paycheck_3","2022"
"79","E436-488","65711",16640,"arpa_paycheck_3","2022"
"80","P927-294","63368",58240,"arpa_paycheck_3","2022"
"81","P428-547","63303",33280,"arpa_paycheck_3","2022"
"82","P983-932","63304",58240,"arpa_paycheck_3","2022"
"83","P113-393","63385",12480,"arpa_paycheck_3","2022"
"84","P458-527","63376",37440,"arpa_paycheck_3","2022"
"85","P979-611","63303",20800,"arpa_paycheck_3","2022"
"86","E117-202","63830",4160,"arpa_paycheck_3","2022"
"87","E976-491","63901",83200,"arpa_paycheck_3","2022"
"88","E620-326","65802",16640,"arpa_paycheck_3","2022"
"89","E573-509","65804",33280,"arpa_paycheck_3","2022"
"90","E231-222","65401",54080,"arpa_paycheck_3","2022"
"91","P341-148","63862",4160,"arpa_paycheck_3","2022"
"92","E482-343","63147",8320,"arpa_paycheck_3","2022"
"93","E676-348","63147",29120,"arpa_paycheck_3","2022"
"94","E441-674","63445",4160,"arpa_paycheck_3","2022"
"95","E594-379","63138",37440,"arpa_paycheck_3","2022"
"96","E711-857","63857",4160,"arpa_paycheck_3","2022"
"97","E341-788","63118",16640,"arpa_paycheck_3","2022"
"98","E934-319","63869",4160,"arpa_paycheck_3","2022"
"99","P347-399","63869",4160,"arpa_paycheck_3","2022"
"100","P718-713","63670",4160,"arpa_paycheck_3","2022"
"101","E873-290","64865",4160,"arpa_paycheck_3","2022"
"102","P332-142","63848",4160,"arpa_paycheck_3","2022"
"103","E905-147","65401",62400,"arpa_paycheck_3","2022"
"104","E201-525","63303",49920,"arpa_paycheck_3","2022"
"105","E889-769","63037",62400,"arpa_paycheck_3","2022"
"106","P165-203","63137",4160,"arpa_paycheck_3","2022"
"107","E413-266","63830",4160,"arpa_paycheck_3","2022"
"108","E810-246","63114",62400,"arpa_paycheck_3","2022"
"109","E423-225","65270",8320,"arpa_paycheck_3","2022"
"110","E496-648","65270",4160,"arpa_paycheck_3","2022"
"111","E481-776","63115",8320,"arpa_paycheck_3","2022"
"112","E744-919","63147",66560,"arpa_paycheck_3","2022"
"113","P938-408","63106",4160,"arpa_paycheck_3","2022"
"114","P621-903","63361",4160,"arpa_paycheck_3","2022"
"115","E274-724","63703",104000,"arpa_paycheck_3","2022"
"116","P355-199","63548",4160,"arpa_paycheck_3","2022"
"117","E681-148","63878",4160,"arpa_paycheck_3","2022"
"118","E345-805","63129",83200,"arpa_paycheck_3","2022"
"119","E462-363","64109",62400,"arpa_paycheck_3","2022"
"120","P608-915","63775",16640,"arpa_paycheck_3","2022"
"121","E162-818","64503",16640,"arpa_paycheck_3","2022"
"122","E544-271","63136",16640,"arpa_paycheck_3","2022"
"123","P640-286","63026",70720,"arpa_paycheck_3","2022"
"124","P694-580","63129",83200,"arpa_paycheck_3","2022"
"125","E312-402","63136",29120,"arpa_paycheck_3","2022"
"126","P622-821","63801",4160,"arpa_paycheck_3","2022"
"127","E430-539","64012",104000,"arpa_paycheck_3","2022"
"128","E472-871","63121",4160,"arpa_paycheck_3","2022"
"129","P703-731","63127",104000,"arpa_paycheck_3","2022"
"130","P478-620","63755",4160,"arpa_paycheck_3","2022"
"131","P207-456","63034",58240,"arpa_paycheck_3","2022"
"132","E944-650","63901",33280,"arpa_paycheck_3","2022"
"133","E453-585","65101",83200,"arpa_paycheck_3","2022"
"134","P259-787","63935",8320,"arpa_paycheck_3","2022"
"135","E147-185","64504",4160,"arpa_paycheck_3","2022"
"136","E821-209","63136",62400,"arpa_paycheck_3","2022"
"137","P250-502","63703",4160,"arpa_paycheck_3","2022"
"138","E310-820","63640",58240,"arpa_paycheck_3","2022"
"139","P615-483","63304",33280,"arpa_paycheck_3","2022"
"140","P479-549","63303",41600,"arpa_paycheck_3","2022"
"141","P483-927","63376",62400,"arpa_paycheck_3","2022"
"142","E806-236","64151",83200,"arpa_paycheck_3","2022"
"143","E360-171","63301",58240,"arpa_paycheck_3","2022"
"144","P244-339","63901",8320,"arpa_paycheck_3","2022"
"145","E175-305","65270",4160,"arpa_paycheck_3","2022"
"146","E569-221","65109",37440,"arpa_paycheck_3","2022"
"147","E570-295","63112",8320,"arpa_paycheck_3","2022"
"148","E984-240","63459",33280,"arpa_paycheck_3","2022"
"149","E344-509","63129",62400,"arpa_paycheck_3","2022"
"150","E384-796","63136",4160,"arpa_paycheck_3","2022"
"151","E849-263","63841",8320,"arpa_paycheck_3","2022"
"152","E342-816","63112",8320,"arpa_paycheck_3","2022"
"153","P498-634","63755",4160,"arpa_paycheck_3","2022"
"154","P761-527","63801",4160,"arpa_paycheck_3","2022"
"155","P909-259","64161",104000,"arpa_paycheck_3","2022"
"156","P108-156","63103",24960,"arpa_paycheck_3","2022"
"157","E400-156","63042",54080,"arpa_paycheck_3","2022"
"158","E636-400","63366",62400,"arpa_paycheck_3","2022"
"159","E247-748","63121",16640,"arpa_paycheck_3","2022"
"160","E832-118","63033",24960,"arpa_paycheck_3","2022"
"161","E213-482","65401",16640,"arpa_paycheck_3","2022"
"162","E772-902","63841",4160,"arpa_paycheck_3","2022"
"163","E174-180","65536",4160,"arpa_paycheck_3","2022"
"164","E969-759","65101",104000,"arpa_paycheck_3","2022"
"165","P917-745","65401",8320,"arpa_paycheck_3","2022"
"166","E231-342","63031",8320,"arpa_paycheck_3","2022"
"167","P542-849","64034",33280,"arpa_paycheck_3","2022"
"168","P580-645","64034",12480,"arpa_paycheck_3","2022"
"169","E706-479","65109",62400,"arpa_paycheck_3","2022"
"170","P278-314","64068",104000,"arpa_paycheck_3","2022"
"171","P946-126","63935",8320,"arpa_paycheck_3","2022"
"172","E904-184","63852",8320,"arpa_paycheck_3","2022"
"173","P656-924","63137",8320,"arpa_paycheck_3","2022"
"174","E140-556","65807",83200,"arpa_paycheck_3","2022"
"175","E831-428","65020",16640,"arpa_paycheck_3","2022"
"176","E505-645","64485",33280,"arpa_paycheck_3","2022"
"177","E542-798","63133",16640,"arpa_paycheck_3","2022"
"178","E512-419","63601",62400,"arpa_paycheck_3","2022"
"179","P761-149","63136",8320,"arpa_paycheck_3","2022"
"180","P997-569","65202",8320,"arpa_paycheck_3","2022"
"181","P989-596","64083",12480,"arpa_paycheck_3","2022"
"182","E203-340","64015",4160,"arpa_paycheck_3","2022"
"183","E477-568","63114",29120,"arpa_paycheck_3","2022"
"184","P359-843","63775",4160,"arpa_paycheck_3","2022"
"185","P733-599","64804",12480,"arpa_paycheck_3","2022"
"186","P153-165","64029",62400,"arpa_paycheck_3","2022"
"187","E372-716","65301",33280,"arpa_paycheck_3","2022"
"188","E221-460","63135",54080,"arpa_paycheck_3","2022"
"189","E212-293","63552",62400,"arpa_paycheck_3","2022"
"190","P577-966","65804",37440,"arpa_paycheck_3","2022"
"191","P714-995","65583",16640,"arpa_paycheck_3","2022"
"192","E316-223","65082",8320,"arpa_paycheck_3","2022"
"193","P796-745","64155",8320,"arpa_paycheck_3","2022"
"194","E610-157","63863",4160,"arpa_paycheck_3","2022"
"195","E309-858","63114",62400,"arpa_paycheck_3","2022"
"196","E352-421","63044",62400,"arpa_paycheck_3","2022"
"197","E593-847","63033",33280,"arpa_paycheck_3","2022"
"198","E557-312","63131",83200,"arpa_paycheck_3","2022"
"199","E434-978","65251",33280,"arpa_paycheck_3","2022"
"200","E927-120","65203",16640,"arpa_paycheck_3","2022"
"201","E949-155","63033",16640,"arpa_paycheck_3","2022"
"202","E208-150","63135",54080,"arpa_paycheck_3","2022"
"203","E501-261","64055",4160,"arpa_paycheck_3","2022"
"204","E939-323","63134",8320,"arpa_paycheck_3","2022"
"205","E371-968","63031",62400,"arpa_paycheck_3","2022"
"206","E531-726","65054",62400,"arpa_paycheck_3","2022"
"207","E709-794","63147",33280,"arpa_paycheck_3","2022"
"208","P329-929","64083",104000,"arpa_paycheck_3","2022"
"209","E380-177","63112",33280,"arpa_paycheck_3","2022"
"210","E183-108","65801",62400,"arpa_paycheck_3","2022"
"211","P462-532","64029",58240,"arpa_paycheck_3","2022"
"212","P669-567","63368",104000,"arpa_paycheck_3","2022"
"213","E468-973","64454",4160,"arpa_paycheck_3","2022"
"214","E415-618","63104",24960,"arpa_paycheck_3","2022"
"215","E802-648","64012",24960,"arpa_paycheck_3","2022"
"216","E176-310","63049",62400,"arpa_paycheck_3","2022"
"217","E793-787","63005",104000,"arpa_paycheck_3","2022"
"218","E616-376","65065",83200,"arpa_paycheck_3","2022"
"219","E164-676","64030",37440,"arpa_paycheck_3","2022"
"220","P280-938","65202",62400,"arpa_paycheck_3","2022"
"221","E711-773","63136",4160,"arpa_paycheck_3","2022"
"222","E129-588","63120",62400,"arpa_paycheck_3","2022"
"223","E748-186","63074",4160,"arpa_paycheck_3","2022"
"224","E938-780","63138",62400,"arpa_paycheck_3","2022"
"225","E552-738","63841",8320,"arpa_paycheck_3","2022"
"226","P901-685","65203",8320,"arpa_paycheck_3","2022"
"227","E519-714","63137",4160,"arpa_paycheck_3","2022"
"228","E289-741","63121",49920,"arpa_paycheck_3","2022"
"229","E865-429","63136",4160,"arpa_paycheck_3","2022"
"230","E185-547","64079",104000,"arpa_paycheck_3","2022"
"231","E559-579","64060",45760,"arpa_paycheck_3","2022"
"232","E825-261","63501",4160,"arpa_paycheck_3","2022"
"233","E498-605","63111",4160,"arpa_paycheck_3","2022"
"234","E514-904","63136",45760,"arpa_paycheck_3","2022"
"235","P476-332","63134",4160,"arpa_paycheck_3","2022"
"236","E638-382","65101",62400,"arpa_paycheck_3","2022"
"237","E698-368","63137",8320,"arpa_paycheck_3","2022"
"238","E498-829","63050",62400,"arpa_paycheck_3","2022"
"239","E994-369","65807",33280,"arpa_paycheck_3","2022"
"240","E812-857","63367",33280,"arpa_paycheck_3","2022"
"241","P811-581","64012",104000,"arpa_paycheck_3","2022"
"242","E986-698","65049",62400,"arpa_paycheck_3","2022"
"243","E973-956","63031",41600,"arpa_paycheck_3","2022"
"244","P205-794","64083",83200,"arpa_paycheck_3","2022"
"245","E822-195","63104",33280,"arpa_paycheck_3","2022"
"246","P793-920","63121",37440,"arpa_paycheck_3","2022"
"247","E481-583","65536",62400,"arpa_paycheck_3","2022"
"248","P255-232","63127",62400,"arpa_paycheck_3","2022"
"249","P769-175","63010",83200,"arpa_paycheck_3","2022"
"250","E729-769","63134",62400,"arpa_paycheck_3","2022"
"251","E987-962","63042",62400,"arpa_paycheck_3","2022"
"252","E451-452","63110",12480,"arpa_paycheck_3","2022"
"253","P716-707","65803",24960,"arpa_paycheck_3","2022"
"254","E373-376","63138",62400,"arpa_paycheck_3","2022"
"255","E862-584","65714",37440,"arpa_paycheck_3","2022"
"256","E264-524","65714",62400,"arpa_paycheck_3","2022"
"257","E335-156","65714",33280,"arpa_paycheck_3","2022"
"258","E136-666","64772",29120,"arpa_paycheck_3","2022"
"259","E245-935","64156",8320,"arpa_paycheck_3","2022"
"260","E601-563","63138",41600,"arpa_paycheck_3","2022"
