"","...1","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"1",1,"63005","2019","November",5,NA,635,895
"2",9,"63010","2019","November",12,NA,978,2319
"3",17,"63011","2019","November",15,NA,1288,2876
"4",25,"63012","2019","November",4,1,159,1106
"5",33,"63013","2019","November",1,1,20,26
"6",40,"63016","2019","November",1,NA,49,337
"7",48,"63017","2019","November",13,NA,1227,2557
"8",56,"63019","2019","November",2,NA,114,281
"9",64,"63020","2019","November",6,NA,366,1294
"10",72,"63021","2019","November",11,1,951,4106
"11",80,"63023","2019","November",1,1,80,300
"12",87,"63025","2019","November",7,1,488,1635
"13",95,"63026","2019","November",10,1,1099,3211
"14",103,"63028","2019","November",8,2,717,1906
"15",111,"63031","2019","November",29,5,1454,3247
"16",119,"63033","2019","November",26,10,975,2751
"17",127,"63034","2019","November",8,4,433,1572
"18",135,"63037","2019","November",2,1,110,127
"19",143,"63038","2019","November",4,NA,343,635
"20",151,"63039","2019","November",2,1,116,103
"21",159,"63040","2019","November",2,1,198,626
"22",167,"63042","2019","November",12,1,770,1504
"23",175,"63043","2019","November",8,NA,622,1355
"24",183,"63044","2019","November",6,NA,316,676
"25",191,"63045","2019","November",1,1,102,0
"26",199,"63047","2019","November",1,NA,36,0
"27",205,"63049","2019","November",8,1,391,1098
"28",213,"63050","2019","November",7,1,449,1145
"29",221,"63051","2019","November",5,2,200,746
"30",229,"63052","2019","November",6,1,400,2055
"31",237,"63055","2019","November",1,NA,20,112
"32",244,"63068","2019","November",5,NA,139,610
"33",252,"63069","2019","November",1,1,10,983
"34",260,"63070","2019","November",3,NA,286,457
"35",268,"63072","2019","November",1,NA,20,330
"36",275,"63074","2019","November",8,1,360,1731
"37",283,"63077","2019","November",5,2,345,695
"38",291,"63080","2019","November",8,2,290,918
"39",299,"63084","2019","November",11,2,332,1523
"40",307,"63088","2019","November",1,NA,149,409
"41",315,"63090","2019","November",8,NA,491,1285
"42",323,"63103","2019","November",6,NA,652,363
"43",331,"63104","2019","November",16,2,1071,1471
"44",339,"63105","2019","November",6,1,505,864
"45",347,"63106","2019","November",9,1,496,1053
"46",355,"63107","2019","November",14,7,672,608
"47",363,"63108","2019","November",9,2,426,678
"48",371,"63109","2019","November",7,NA,380,1765
"49",379,"63110","2019","November",15,2,1392,1168
"50",387,"63111","2019","November",9,NA,369,2224
"51",395,"63112","2019","November",19,5,875,1298
"52",403,"63113","2019","November",15,7,827,402
"53",411,"63114","2019","November",20,5,1286,2847
"54",419,"63115","2019","November",23,9,869,1054
"55",427,"63116","2019","November",14,NA,856,3169
"56",435,"63117","2019","November",2,NA,143,723
"57",442,"63118","2019","November",23,9,1184,2451
"58",450,"63119","2019","November",15,1,1036,2523
"59",458,"63120","2019","November",13,4,534,684
"60",466,"63121","2019","November",21,3,1079,1738
"61",474,"63122","2019","November",17,1,1625,2997
"62",482,"63123","2019","November",9,1,642,3101
"63",490,"63124","2019","November",5,NA,387,651
