"","...1","...2","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under","ratio","status","status_num","dw"
"1",7162,8,"63005",2023,"March",5,2,839,895,1.1,"non-desert",0,"Child to slot ratio is 1.1 :1"
"2",7163,16,"63010",2023,"March",15,6,1122,2319,2.1,"non-desert",0,"Child to slot ratio is 2.1 :1"
"3",7164,24,"63011",2023,"March",13,4,1895,2876,1.5,"non-desert",0,"Child to slot ratio is 1.5 :1"
"4",7165,32,"63012",2023,"March",2,1,103,1106,11,"extreme",3,"Child to slot ratio is 11 :1"
"5",7166,39,"63013",2023,"March",2,1,40,26,0.7,"non-desert",0,"Child to slot ratio is 0.7 :1"
"6",7167,47,"63016",2023,"March",1,1,49,337,7,"desert",1,"Child to slot ratio is 7 :1"
"7",7168,55,"63017",2023,"March",15,5,1413,2557,1.8,"non-desert",0,"Child to slot ratio is 1.8 :1"
"8",7169,63,"63019",2023,"March",1,1,75,281,4,"desert",1,"Child to slot ratio is 4 :1"
"9",7170,71,"63020",2023,"March",5,3,364,1294,4,"desert",1,"Child to slot ratio is 4 :1"
"10",7171,79,"63021",2023,"March",8,5,1009,4106,4,"desert",1,"Child to slot ratio is 4 :1"
"11",7172,86,"63023",2023,"March",1,NA,41,300,7,"desert",1,"Child to slot ratio is 7 :1"
"12",7173,94,"63025",2023,"March",6,3,552,1635,3,"non-desert",0,"Child to slot ratio is 3 :1"
"13",7174,102,"63026",2023,"March",7,5,620,3211,5,"desert",1,"Child to slot ratio is 5 :1"
"14",7175,110,"63028",2023,"March",5,3,360,1906,5,"desert",1,"Child to slot ratio is 5 :1"
"15",7176,118,"63031",2023,"March",22,17,1188,3247,2.7,"non-desert",0,"Child to slot ratio is 2.7 :1"
"16",7177,126,"63033",2023,"March",26,20,934,2751,2.9,"non-desert",0,"Child to slot ratio is 2.9 :1"
"17",7178,134,"63034",2023,"March",10,6,382,1572,4,"desert",1,"Child to slot ratio is 4 :1"
"18",7179,142,"63037",2023,"March",2,2,110,127,1.2,"non-desert",0,"Child to slot ratio is 1.2 :1"
"19",7180,150,"63038",2023,"March",2,NA,223,635,2.8,"non-desert",0,"Child to slot ratio is 2.8 :1"
"20",7181,158,"63039",2023,"March",2,NA,116,103,0.9,"non-desert",0,"Child to slot ratio is 0.9 :1"
"21",7182,166,"63040",2023,"March",2,1,212,626,3,"non-desert",0,"Child to slot ratio is 3 :1"
"22",7183,174,"63042",2023,"March",14,13,926,1504,1.6,"non-desert",0,"Child to slot ratio is 1.6 :1"
"23",7184,182,"63043",2023,"March",7,4,610,1355,2.2,"non-desert",0,"Child to slot ratio is 2.2 :1"
"24",7185,190,"63044",2023,"March",5,3,291,676,2.3,"non-desert",0,"Child to slot ratio is 2.3 :1"
"25",7186,198,"63045",2023,"March",1,NA,102,0,0,"non-desert",0,"0 children and 102 slots"
"26",7187,204,"63047",2023,"March",1,NA,46,0,0,"non-desert",0,"0 children and 46 slots"
"27",7188,212,"63049",2023,"March",7,3,403,1098,2.7,"non-desert",0,"Child to slot ratio is 2.7 :1"
"28",7189,220,"63050",2023,"March",8,8,550,1145,2.1,"non-desert",0,"Child to slot ratio is 2.1 :1"
"29",7190,228,"63051",2023,"March",6,4,215,746,3,"desert",1,"Child to slot ratio is 3 :1"
"30",7191,236,"63052",2023,"March",6,4,450,2055,5,"desert",1,"Child to slot ratio is 5 :1"
"31",7192,243,"63055",2023,"March",1,1,20,112,6,"desert",1,"Child to slot ratio is 6 :1"
"32",7193,251,"63068",2023,"March",5,3,139,610,4,"desert",1,"Child to slot ratio is 4 :1"
"33",7194,259,"63069",2023,"March",1,NA,10,983,98,"extreme",3,"Child to slot ratio is 98 :1"
"34",7195,267,"63070",2023,"March",2,2,130,457,4,"desert",1,"Child to slot ratio is 4 :1"
"35",7196,274,"63072",2023,"March",1,NA,20,330,16,"extreme",3,"Child to slot ratio is 16 :1"
"36",7197,282,"63074",2023,"March",8,8,360,1731,5,"desert",1,"Child to slot ratio is 5 :1"
"37",7198,290,"63077",2023,"March",4,3,265,695,2.6,"non-desert",0,"Child to slot ratio is 2.6 :1"
"38",7199,298,"63080",2023,"March",9,7,380,918,2.4,"non-desert",0,"Child to slot ratio is 2.4 :1"
"39",7200,306,"63084",2023,"March",11,6,370,1523,4,"desert",1,"Child to slot ratio is 4 :1"
"40",7201,314,"63088",2023,"March",2,1,209,409,2,"non-desert",0,"Child to slot ratio is 2 :1"
"41",7202,322,"63090",2023,"March",6,5,473,1285,2.7,"non-desert",0,"Child to slot ratio is 2.7 :1"
"42",7203,330,"63103",2023,"March",8,3,736,363,0.5,"non-desert",0,"Child to slot ratio is 0.5 :1"
"43",7204,338,"63104",2023,"March",18,8,1021,1471,1.4,"non-desert",0,"Child to slot ratio is 1.4 :1"
"44",7205,346,"63105",2023,"March",6,1,476,864,1.8,"non-desert",0,"Child to slot ratio is 1.8 :1"
"45",7206,354,"63106",2023,"March",10,4,287,1053,4,"desert",1,"Child to slot ratio is 4 :1"
"46",7207,362,"63107",2023,"March",15,11,589,608,1,"non-desert",0,"Child to slot ratio is 1 :1"
"47",7208,370,"63108",2023,"March",10,6,396,678,1.7,"non-desert",0,"Child to slot ratio is 1.7 :1"
"48",7209,378,"63109",2023,"March",9,2,475,1765,4,"desert",1,"Child to slot ratio is 4 :1"
"49",7210,386,"63110",2023,"March",15,6,1293,1168,0.9,"non-desert",0,"Child to slot ratio is 0.9 :1"
"50",7211,394,"63111",2023,"March",13,7,526,2224,4,"desert",1,"Child to slot ratio is 4 :1"
"51",7212,402,"63112",2023,"March",18,12,797,1298,1.6,"non-desert",0,"Child to slot ratio is 1.6 :1"
"52",7213,410,"63113",2023,"March",17,15,807,402,0.5,"non-desert",0,"Child to slot ratio is 0.5 :1"
"53",7214,418,"63114",2023,"March",18,14,1173,2847,2.4,"non-desert",0,"Child to slot ratio is 2.4 :1"
"54",7215,426,"63115",2023,"March",24,20,744,1054,1.4,"non-desert",0,"Child to slot ratio is 1.4 :1"
"55",7216,434,"63116",2023,"March",17,8,736,3169,4,"desert",1,"Child to slot ratio is 4 :1"
"56",7217,441,"63117",2023,"March",2,1,92,723,8,"desert",1,"Child to slot ratio is 8 :1"
"57",7218,449,"63118",2023,"March",25,15,996,2451,2.5,"non-desert",0,"Child to slot ratio is 2.5 :1"
"58",7219,457,"63119",2023,"March",13,4,1036,2523,2.4,"non-desert",0,"Child to slot ratio is 2.4 :1"
"59",7220,465,"63120",2023,"March",11,10,515,684,1.3,"non-desert",0,"Child to slot ratio is 1.3 :1"
"60",7221,473,"63121",2023,"March",20,18,1402,1738,1.2,"non-desert",0,"Child to slot ratio is 1.2 :1"
"61",7222,481,"63122",2023,"March",17,4,1625,2997,1.8,"non-desert",0,"Child to slot ratio is 1.8 :1"
"62",7223,489,"63123",2023,"March",7,5,601,3101,5,"desert",1,"Child to slot ratio is 5 :1"
"63",7224,497,"63124",2023,"March",4,NA,351,651,1.9,"non-desert",0,"Child to slot ratio is 1.9 :1"
"64",7225,505,"63125",2023,"March",13,6,587,3006,5,"desert",1,"Child to slot ratio is 5 :1"
"65",7226,513,"63126",2023,"March",4,1,455,933,2.1,"non-desert",0,"Child to slot ratio is 2.1 :1"
"66",7227,521,"63127",2023,"March",3,2,350,160,0.5,"non-desert",0,"Child to slot ratio is 0.5 :1"
"67",7228,529,"63128",2023,"March",15,5,887,2019,2.3,"non-desert",0,"Child to slot ratio is 2.3 :1"
"68",7229,537,"63129",2023,"March",20,11,1653,2752,1.7,"non-desert",0,"Child to slot ratio is 1.7 :1"
"69",7230,545,"63130",2023,"March",13,11,1057,1830,1.7,"non-desert",0,"Child to slot ratio is 1.7 :1"
"70",7231,553,"63131",2023,"March",2,1,250,1042,4,"desert",1,"Child to slot ratio is 4 :1"
"71",7232,561,"63132",2023,"March",3,3,156,974,6,"desert",1,"Child to slot ratio is 6 :1"
"72",7233,569,"63133",2023,"March",10,9,748,673,0.9,"non-desert",0,"Child to slot ratio is 0.9 :1"
"73",7234,577,"63134",2023,"March",12,11,471,1214,2.6,"non-desert",0,"Child to slot ratio is 2.6 :1"
"74",7235,585,"63135",2023,"March",10,8,564,1550,2.7,"non-desert",0,"Child to slot ratio is 2.7 :1"
"75",7236,593,"63136",2023,"March",50,40,3150,3200,1,"non-desert",0,"Child to slot ratio is 1 :1"
