"","GEOID","pop_5_and_under"
"1","00601",835
"2","00602",1662
"3","00603",2181
"4","00606",290
"5","00610",1065
"6","00611",142
"7","00612",3325
"8","00616",251
"9","00617",1025
"10","00622",223
"11","00623",1731
"12","00624",1298
"13","00627",1427
"14","00631",25
"15","00636",70
"16","00637",458
"17","00638",881
"18","00641",1069
"19","00646",1825
"20","00647",323
"21","00650",865
"22","00652",90
"23","00653",263
"24","00656",831
"25","00659",1650
"26","00660",538
"27","00662",1684
"28","00664",672
"29","00667",897
"30","00669",1377
"31","00670",396
"32","00674",2017
"33","00676",1880
"34","00677",607
"35","00678",930
"36","00680",1885
"37","00682",1460
"38","00683",1227
"39","00685",1604
"40","00687",1309
"41","00688",377
"42","00690",134
"43","00692",1601
"44","00693",2715
"45","00694",0
"46","00698",1521
"47","00703",999
"48","00704",412
"49","00705",1171
"50","00707",492
"51","00714",823
"52","00715",50
"53","00716",1200
"54","00717",614
"55","00718",1309
"56","00719",1202
"57","00720",1079
"58","00723",790
"59","00725",3813
"60","00727",2001
"61","00728",2497
"62","00729",2154
"63","00730",1660
"64","00731",252
"65","00735",520
"66","00736",2011
"67","00738",1366
"68","00739",1706
"69","00740",179
"70","00741",151
"71","00745",2137
"72","00751",771
"73","00754",1585
"74","00757",1037
"75","00765",543
"76","00766",1224
"77","00767",1358
"78","00769",1541
"79","00771",1508
"80","00772",928
"81","00773",814
"82","00775",57
"83","00777",2107
"84","00778",1893
"85","00780",723
"86","00782",829
"87","00783",1804
"88","00784",1837
"89","00786",0
"90","00791",2032
"91","00794",1647
"92","00795",2306
"93","00901",395
"94","00906",17
"95","00907",557
"96","00909",259
"97","00911",248
"98","00912",120
"99","00913",1402
"100","00915",1371
"101","00917",618
"102","00918",636
"103","00920",607
"104","00921",1442
"105","00923",1158
"106","00924",2430
"107","00925",151
"108","00926",4416
"109","00927",637
"110","00934",0
"111","00949",2973
"112","00950",0
"113","00951",26
"114","00952",280
"115","00953",3104
"116","00956",2996
"117","00957",2029
"118","00959",2236
"119","00960",0
"120","00961",1534
"121","00962",1056
"122","00965",297
"123","00966",790
"124","00968",103
"125","00969",1584
"126","00971",1097
"127","00976",2407
"128","00979",358
"129","00982",737
"130","00983",1759
"131","00985",1354
"132","00987",2369
"133","01001",1195
"134","01002",1149
"135","01003",0
"136","01005",150
"137","01007",988
"138","01008",79
"139","01009",128
"140","01010",193
"141","01011",42
"142","01012",8
"143","01013",1638
"144","01020",1537
"145","01022",68
"146","01026",35
"147","01027",689
"148","01028",1260
"149","01029",13
"150","01030",597
"151","01031",68
"152","01032",16
"153","01033",189
"154","01034",94
"155","01035",218
"156","01036",152
"157","01037",14
"158","01038",50
"159","01039",45
"160","01040",2997
"161","01050",190
"162","01053",0
"163","01054",83
"164","01056",746
"165","01057",368
"166","01060",438
"167","01062",510
"168","01063",0
"169","01066",0
"170","01068",56
"171","01069",528
"172","01070",24
"173","01071",52
"174","01072",60
"175","01073",438
"176","01074",40
"177","01075",781
"178","01077",462
"179","01079",14
"180","01080",113
"181","01081",129
"182","01082",538
"183","01083",227
"184","01084",0
"185","01085",2127
"186","01088",122
"187","01089",2018
"188","01092",97
"189","01093",3
"190","01094",0
"191","01095",615
"192","01096",68
"193","01097",0
"194","01098",47
"195","01103",71
"196","01104",1455
"197","01105",1186
"198","01106",1104
"199","01107",1153
"200","01108",2364
"201","01109",2239
"202","01118",1164
"203","01119",1206
"204","01128",329
"205","01129",298
"206","01144",0
"207","01151",712
"208","01201",2509
"209","01220",378
"210","01222",19
"211","01223",104
"212","01224",0
"213","01225",181
"214","01226",382
"215","01229",0
"216","01230",589
"217","01235",142
"218","01236",122
"219","01237",84
"220","01238",160
"221","01240",49
"222","01242",0
"223","01243",0
"224","01244",0
"225","01245",9
"226","01247",777
"227","01253",38
"228","01254",44
"229","01255",53
"230","01256",20
"231","01257",33
"232","01258",1
"233","01259",27
"234","01260",0
"235","01262",40
"236","01264",7
"237","01266",60
"238","01267",349
"239","01270",77
"240","01301",1053
"241","01330",45
"242","01331",875
"243","01337",78
"244","01338",0
"245","01339",52
"246","01340",100
"247","01341",77
"248","01342",67
"249","01343",4
"250","01344",135
"251","01346",21
"252","01347",0
"253","01349",16
"254","01350",0
"255","01351",168
"256","01354",51
"257","01355",12
"258","01360",104
"259","01364",469
"260","01366",35
"261","01367",21
"262","01368",139
"263","01370",212
"264","01373",138
"265","01375",92
"266","01376",242
"267","01378",45
"268","01379",23
"269","01380",0
"270","01420",2986
"271","01430",382
"272","01431",74
"273","01432",619
"274","01434",36
"275","01436",468
"276","01438",0
"277","01440",1230
"278","01450",573
"279","01451",485
"280","01452",374
"281","01453",2913
"282","01460",780
"283","01462",709
"284","01463",840
"285","01464",382
"286","01468",142
"287","01469",495
"288","01473",504
"289","01474",43
"290","01475",857
"291","01501",973
"292","01503",120
"293","01504",612
"294","01505",333
"295","01506",102
"296","01507",948
"297","01510",977
"298","01515",141
"299","01516",487
"300","01518",289
"301","01519",406
"302","01520",1198
"303","01521",130
"304","01522",155
"305","01523",367
"306","01524",333
