county,zip code,city
Stoddard,63960,Acornridge
Adair,63533,Adair
Bates,64720,Adrian
Stoddard,63730,Advance
Saint Louis,63123,Affton
Buchanan,64401,Agency
Jasper,64830,Alba
Gentry,64402,Albany
Polk,65601,Aldrich
Clark,63430,Alexandria
Madison,63655,Allbright
Worth,64420,Allendale
Saint Louis,63001,Allenton
Scott,63740,Allenville
Shannon,65466,Alley Springs
Lafayette,64001,Alma
Daviess,64620,Altamont
Cape Girardeau,63732,Altenburg
Oregon,65606,Alton
Andrew,64421,Amazonia
Montgomery,65069,Americus
Dekalb,64422,Amity
Bates,64722,Amoret
Bates,64723,Amsterdam
Macon,63431,Anabel
McDonald,64831,Anderson
Pike,63330,Annada
Iron,63620,Annapolis
Mississippi,63820,Anniston
Jefferson,63052,Antonia
Dent,65540,Anutt
Cape Girardeau,63769,Apple Creek
Saint Clair,64724,Appleton City
Bollinger,63787,Arab
Scotland,63432,Arbela
Scotland,63442,Arbela
Scott,63740,Arbor
Dunklin,63821,Arbyrd
Iron,63621,Arcadia
Cass,64725,Archie
Dade,65603,Arcola
Macon,65247,Ardmore
Osage,65001,Argyle
Howard,65230,Armstrong
Jefferson,63010,Arnold
Newton,64844,Aroma
Saline,65320,Arrow Rock
Barton,64832,Asbury
Monroe,65263,Ash
Greene,65604,Ash Grove
Pike,63433,Ashburn
Stoddard,63960,Asherville
Boone,65010,Ashland
Clark,63453,Ashton
Clark,63465,Athens
Macon,63530,Atlanta
Lincoln,63343,Auburn
Saint Charles,63332,Augusta
Lafayette,64037,Aullville
Lawrence,65605,Aurora
Miller,65026,Aurora Springs
Cass,64725,Austin
Callaway,65231,Auxvasse
Douglas,65608,Ava
Livingston,64601,Avalon
Jasper,64833,Avilla
Clay,64117,Avondale
Osage,65058,Babbtown
Osage,65085,Babbtown
Callaway,65231,Bachelor
Miller,65026,Bagnell
Pettis,65350,Bahner
Sullivan,63556,Bairdtown
Ozark,65609,Bakersfield
Saint Louis,63011,Ballwin
Saint Louis,63021,Ballwin
Saint Louis,63022,Ballwin
Saint Louis,63024,Ballwin
Knox,63531,Baring
